05/05/2010,548.01
06/05/2010,549.51
07/05/2010,542.03
10/05/2010,534.38
11/05/2010,534.36
12/05/2010,519.6
13/05/2010,518.93
14/05/2010,520.72
17/05/2010,511.27
18/05/2010,508.3
19/05/2010,494.9
20/05/2010,503.55
21/05/2010,483.69
24/05/2010,486.19
25/05/2010,486.25
26/05/2010,492.69
27/05/2010,497.16
28/05/2010,512.99
31/05/2010,507.44
01/06/2010,508.68
02/06/2010,510.74
03/06/2010,511.16
04/06/2010,510.37
07/06/2010,496.89
08/06/2010,497.19
09/06/2010,497.56
10/06/2010,500.51
11/06/2010,504.29
14/06/2010,508.32
15/06/2010,508.01
16/06/2010,510.72
17/06/2010,510.76
18/06/2010,511.18
21/06/2010,514.75
22/06/2010,512.63
23/06/2010,512.82
24/06/2010,511.67
25/06/2010,505.12
28/06/2010,507.28
29/06/2010,510.71
30/06/2010,507.14
01/07/2010,504.02
02/07/2010,503.65
05/07/2010,506.54
06/07/2010,500.82
07/07/2010,496.91
08/07/2010,498.55
09/07/2010,499.46
12/07/2010,499.93
13/07/2010,509.08
14/07/2010,507.34
15/07/2010,505.19
16/07/2010,506.21
19/07/2010,506.84
20/07/2010,506.56
21/07/2010,505.4
22/07/2010,500.28
23/07/2010,500.31
26/07/2010,498.1
27/07/2010,497.67
28/07/2010,491
29/07/2010,491.11
30/07/2010,493.91
02/08/2010,491.61
03/08/2010,491.9
04/08/2010,486.71
05/08/2010,486.21
06/08/2010,482.82
09/08/2010,472.74
10/08/2010,461.67
11/08/2010,463.12
12/08/2010,448.4
13/08/2010,452.73
16/08/2010,464.76
17/08/2010,463.52
18/08/2010,455.49
19/08/2010,452.23
20/08/2010,454.84
23/08/2010,447.92
24/08/2010,434.42
25/08/2010,423.89
26/08/2010,427.07
27/08/2010,429.14
30/08/2010,444.55
31/08/2010,455.08
01/09/2010,458.75
06/09/2010,466
07/09/2010,460.59
08/09/2010,458.44
09/09/2010,463.68
10/09/2010,451.39
13/09/2010,447.27
14/09/2010,449.01
15/09/2010,448.72
16/09/2010,449.52
17/09/2010,457.58
20/09/2010,457.87
21/09/2010,453.32
22/09/2010,453.9
23/09/2010,450.77
24/09/2010,449.71
27/09/2010,450.2
28/09/2010,455.13
29/09/2010,452.94
30/09/2010,454.52
01/10/2010,451.71
04/10/2010,445.83
05/10/2010,450.96
06/10/2010,460.72
07/10/2010,462.05
08/10/2010,459.26
11/10/2010,459.32
12/10/2010,454.32
13/10/2010,457.7
14/10/2010,458.66
15/10/2010,458.39
18/10/2010,457.59
19/10/2010,454.25
20/10/2010,442.17
21/10/2010,445.05
22/10/2010,445.21
25/10/2010,448.61
26/10/2010,455.12
27/10/2010,450.01
28/10/2010,450.07
29/10/2010,452.63
01/11/2010,451.06
02/11/2010,446.3
03/11/2010,444.16
04/11/2010,448.95
05/11/2010,457.27
08/11/2010,457.13
09/11/2010,449.4
10/11/2010,451.26
11/11/2010,446.69
12/11/2010,441.6
15/11/2010,433.54
16/11/2010,426.89
17/11/2010,425.5
18/11/2010,430.72
19/11/2010,426.51
22/11/2010,426.19
23/11/2010,430.81
24/11/2010,434.48
25/11/2010,439.85
26/11/2010,439.94
29/11/2010,446.36
30/11/2010,451.59
01/12/2010,449.93
02/12/2010,457.42
03/12/2010,464.35
06/12/2010,465.56
07/12/2010,460.76
08/12/2010,452.83
09/12/2010,460.45
10/12/2010,473.06
13/12/2010,490.22
14/12/2010,489.65
15/12/2010,493.47
16/12/2010,480.21
17/12/2010,485.29
20/12/2010,478.29
21/12/2010,481.78
22/12/2010,481.53
23/12/2010,475.41
24/12/2010,472.76
27/12/2010,473.05
28/12/2010,479.33
29/12/2010,478.75
30/12/2010,481.4
31/12/2010,484.66
04/01/2011,485.97
05/01/2011,481.91
06/01/2011,482.31
07/01/2011,481.86
10/01/2011,480.55
11/01/2011,477.44
12/01/2011,478.45
13/01/2011,484.12
14/01/2011,489.22
17/01/2011,495.16
18/01/2011,497.43
19/01/2011,505.91
