ABR,2023-12-31,2023-12-31,-42.000,11.000,133.000,42.000,0.000,0.000,0.000,210.000,315.000,0.000,0.000,21.000,49.000,-42.000,-32.000,14.000,14.000,71.000,3.000,77.000,77.000,30.000,47.000,43.000,7.800,10.000,2024-03-31,12.900,0.773,0.062,0.382,10.000,11.100,0.800,1.000,4.900,4.400,20000000.000,0,0,-100.000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ABS,2023-12-31,2023-12-31,65.000,93.000,2.000,1473.000,4.000,14.000,0.000,87.000,914.000,592.000,1.000,0.000,72.000,65.000,-36.000,10.000,10.000,1025.000,-63.000,-22.000,-22.000,8.000,4.000,1.000,0.500,1.000,2023-12-31,5.790,3.875,0.086,0.078,22.400,15.600,0.500,1.000,0.500,0.600,80000000.000,0,0,-34.000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ABT,2023-12-31,2023-12-31,-12.000,14.000,156.000,88.000,92.000,90.000,8.000,217.000,491.000,100.000,0.000,2.000,59.000,-12.000,-14.000,2.000,2.000,533.000,-1.000,-1.000,-1.000,64.000,16.000,12.000,9.800,13.000,2024-03-31,34.100,0.218,0.030,0.027,7.500,10.300,1.000,1.100,0.900,1.400,14387207.000,0,0,-1.000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ABW,2023-12-31,2023-12-31,-69.000,12.000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-19.000,23.000,23.000,293.000,-16.000,NULL,0.000,74.000,73.000,25.000,3.200,6.000,2024-03-31,10.900,1.346,0.075,0.330,14.700,10.100,0.800,0.900,3.600,3.000,101150000.000,0,1,NULL,340.000,521.000,727.000,0.000,288.000,422.000,54.000,1337.000,921.000,13.000,27.000,52.000,107.000,38.000,74.000,0.000,63.000,10.000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ACB,2023-12-31,2023-12-31,0.000,0.000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,17.000,26.000,26.000,16045.000,NULL,NULL,2.200,23.000,2024-03-31,28.500,0.246,0.052,NULL,7.000,6.700,1.500,1.500,NULL,NULL,3884050400.000,1,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,482235.000,114874.000,73463.000,7177.000,25414.000,15631.000,0.600,52410.000,482703.000,89507.000,0.000,70956.000,23219.000,10.000,18.000,24960.000,2922.000,4865.000,14.000,16.000,487602.000,18.000,4.000,8.300,4.800,01/03/2024,1.500,79.000,2.200,51.000
ACC,2023-12-31,2023-12-31,58.000,34.000,19.000,798.000,1007.000,10.000,393.000,126.000,1285.000,597.000,173.000,60.000,237.000,58.000,1.000,7.000,7.000,652.000,-16.000,18.000,18.000,69.000,19.000,11.000,3.000,5.000,2023-12-31,12.350,1.449,0.082,0.161,17.900,8.200,1.000,1.000,2.000,1.200,104999993.000,0,0,43.000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ACE,2023-12-31,2023-12-31,44.000,48.000,11.000,81.000,57.000,11.000,1.000,7.000,71.000,41.000,2.000,3.000,51.000,44.000,-6.000,2.000,2.000,295.000,-14.000,3.000,3.000,15.000,18.000,5.000,8.900,21.000,NULL,NULL,0.000,0.000,0.000,NULL,NULL,NULL,NULL,NULL,NULL,0.000,0,0,5.000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ACG,2023-12-31,2023-12-31,-29.000,23.000,1901.000,1244.000,1135.000,405.000,22.000,816.000,4174.000,707.000,0.000,177.000,465.000,-29.000,-16.000,-1.000,-1.000,3779.000,-29.000,-3.000,-3.000,437.000,29.000,12.000,7.900,10.000,2024-03-31,40.200,0.313,0.035,0.040,12.600,12.400,1.400,1.400,1.600,1.400,150787946.000,0,0,-4.000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ACL,2023-12-31,2023-12-31,92.000,13.000,71.000,221.000,1093.000,250.000,6.000,107.000,799.000,803.000,0.000,18.000,129.000,92.000,-4.000,3.000,3.000,1118.000,-92.000,-47.000,-47.000,10.000,15.000,1.000,0.600,1.000,2024-03-31,13.000,4.010,0.063,0.039,52.100,13.800,0.800,0.900,0.500,0.600,50159019.000,0,0,16.000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ACM,2023-12-31,2023-12-31,23.000,11.000,1.000,59.000,149.000,185.000,59.000,80.000,343.000,79.000,0.000,1.000,111.000,23.000,NULL,-100.000,-100.000,0.000,4.000,-35.000,-35.000,-10.000,NULL,NULL,-1.900,-3.000,2023-12-31,0.600,-3.432,0.149,NULL,-2.100,-3.700,0.100,0.100,NULL,NULL,51000000.000,0,0,25.000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ACS,2023-12-31,2023-12-31,123.000,24.000,16.000,91.000,208.000,13.000,0.000,56.000,72.000,105.000,0.000,1.000,205.000,123.000,-2.000,11.000,11.000,272.000,1495.000,-58.000,-58.000,0.000,11.000,0.000,0.000,0.000,NULL,NULL,0.000,0.000,0.000,NULL,NULL,NULL,NULL,NULL,NULL,0.000,0,0,7.000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ACV,2023-12-31,2023-12-31,-36.000,19.000,28739.000,12938.000,468.000,13140.000,7888.000,4174.000,50414.000,410.000,10046.000,14.000,6463.000,-36.000,45.000,7.000,7.000,20103.000,19.000,7.000,7.000,8460.000,59.000,42.000,12.600,17.000,2024-03-31,84.800,0.221,0.041,0.104,18.700,25.800,3.500,4.200,8.800,12.400,2177173236.000,0,0,-2.000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ADC,2023-12-31,2023-12-31,-67.000,24.000,52.000,38.000,42.000,18.000,0.000,11.000,78.000,0.000,0.000,1.000,84.000,-67.000,11.000,12.000,12.000,432.000,8.000,7.000,7.000,14.000,33.000,3.000,8.800,18.000,2024-03-31,19.000,0.278,0.050,0.009,5.300,4.700,0.900,0.900,0.200,0.200,3977936.000,0,0,20.000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ADG,2023-12-31,2023-12-31,-42.000,17.000,191.000,75.000,2.000,8.000,0.000,173.000,346.000,46.000,0.000,8.000,50.000,-42.000,-23.000,9.000,9.000,412.000,-59.000,0.000,0.000,20.000,19.000,5.000,4.900,6.000,2023-12-31,21.500,0.972,0.061,0.057,20.900,20.900,1.300,2.500,1.200,1.500,21380521.000,0,0,10.000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ADP,2023-12-31,2023-12-31,-52.000,17.000,149.000,65.000,124.000,43.000,0.000,1.000,287.000,0.000,0.000,0.000,94.000,-52.000,-12.000,2.000,2.000,519.000,47.000,14.000,14.000,59.000,19.000,11.000,15.500,21.000,2024-03-31,23.600,0.319,0.074,0.040,7.500,8.900,1.800,1.600,0.900,0.800,23039850.000,0,0,12.000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ADS,2023-12-31,2023-12-31,39.000,35.000,532.000,881.000,518.000,157.000,49.000,366.000,918.000,822.000,100.000,77.000,586.000,42.000,-3.000,2.000,2.000,1642.000,-13.000,3.000,3.000,58.000,11.000,5.000,3.000,8.000,2024-03-31,14.150,0.952,0.076,0.039,13.500,10.700,1.100,0.900,0.500,0.300,73394727.000,0,0,13.000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
AFX,2023-12-31,2023-12-31,130.000,74.000,31.000,851.000,146.000,71.000,1.000,56.000,450.000,616.000,0.000,5.000,85.000,130.000,33.000,3.000,3.000,2149.000,-7.000,35.000,35.000,27.000,4.000,1.000,2.300,6.000,2024-03-31,8.700,1.349,0.077,0.016,11.700,26.000,0.700,0.800,0.100,0.200,35000000.000,0,0,-10.000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
AG1,2023-12-31,2023-12-31,-8.000,18.000,7.000,27.000,93.000,15.000,0.000,2.000,51.000,3.000,0.000,1.000,90.000,-8.000,2.000,-8.000,-8.000,269.000,-16.000,5.000,5.000,11.000,15.000,4.000,7.500,21.000,NULL,NULL,0.000,0.000,0.000,NULL,NULL,NULL,NULL,NULL,NULL,0.000,0,0,0.000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
AGF,2023-12-31,2023-12-31,-218.000,20.000,11.000,57.000,24.000,141.000,25.000,31.000,-179.000,401.000,0.000,3.000,63.000,-218.000,-16.000,-18.000,-18.000,453.000,-69.000,-49.000,-49.000,-6.000,12.000,-1.000,-2.100,3.000,2024-03-31,2.800,-3.151,-0.152,0.073,-8.800,-1.700,-0.400,-0.400,0.200,0.200,28109743.000,0,0,-33.000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
AGG,2023-12-31,2023-12-31,22.000,64.000,827.000,5926.000,2014.000,30.000,0.000,497.000,2876.000,769.000,691.000,1900.000,3057.000,22.000,-37.000,31.000,31.000,3891.000,825.000,-10.000,-10.000,175.000,25.000,12.000,5.000,16.000,2024-03-31,23.900,0.189,0.040,0.025,4.500,8.000,1.000,1.300,0.600,1.400,125118368.000,0,0,9.000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
AGM,2023-12-31,2023-12-31,3348.000,43.000,16.000,539.000,25.000,446.000,5.000,228.000,29.000,752.000,235.000,96.000,147.000,3348.000,-77.000,-9.000,-9.000,789.000,-11.000,NULL,NULL,-208.000,2.000,-27.000,-17.000,-737.000,2024-03-31,6.710,-0.089,2.642,0.026,-0.600,6.400,17.700,0.500,0.200,0.100,18200000.000,0,0,-25.000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
AGP,2023-12-31,2023-12-31,106.000,28.000,35.000,249.000,290.000,243.000,44.000,37.000,355.000,393.000,18.000,2.000,130.000,106.000,6.000,9.000,9.000,728.000,2.000,6.000,6.000,44.000,30.000,6.000,4.900,12.000,2024-03-31,35.500,0.480,0.061,0.028,17.000,8.700,2.200,1.200,1.000,0.600,20664453.000,0,0,19.000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
AGR,2023-12-31,2023-12-31,-95.000,1.000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-2.000,2.000,2.000,361.000,0.000,17.000,17.000,146.000,83.000,40.000,4.800,6.000,2024-03-31,22.300,1.563,0.085,0.584,34.800,11.700,1.900,0.800,13.000,5.800,215391309.000,0,1,-100.000,19.000,395.000,1412.000,514.000,519.000,203.000,57.000,2495.000,439.000,0.000,129.000,23.000,37.000,88.000,139.000,12.000,59.000,27.000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
